id;name;description;image;ingredientIds;preparation;tags;goals;type
11;Ensalada de espinaca fresca;Ensalada simple con espinaca, tomate y aceite.;https://images.unsplash.com/photo-1644504439611-ddc302de87ea?q=80&w=1466&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"12;2;3";Lavar espinacas y tomate | Mezclar con aceite de oliva | Servir fresca;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
12;Pollo a la plancha con verduras;Pollo a la plancha con pimientos y cebolla.;https://images.unsplash.com/photo-1680211977755-ca9665d40d51?q=80&w=1489&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"7;20;21;4;3";Cocinar pollo a la plancha | Saltear verduras | Servir todo junto;"sin gluten;sin lactosa";gain_muscle;
13;Tostada de aguacate y tomate;Tostada con aguacate y tomate fresco.;https://images.unsplash.com/photo-1650092194571-d3c1534562be?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"29;44;2;3";Tostar pan | Untar aguacate | Colocar tomate encima | Aliñar con aceite;vegana;eat_healthy;
14;Ensalada de lentejas;Lentejas con cebolla, tomate y pimiento.;https://images.unsplash.com/photo-1626081438186-3d0f9532b6b0?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"9;4;2;20;3";Mezclar todos ingredientes | Aliñar con aceite y limón;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
15;Sándwich de pavo;Pavo con lechuga y tomate en pan integral.;https://images.unsplash.com/photo-1592415486689-125cbbfcbee2?q=80&w=1450&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"34;1;2;29;3";Montar ingredientes en pan | Servir frío o caliente;sin lactosa;gain_muscle;
16;Puré de calabacín y patata;Puré suave con calabacín y patata.;https://images.unsplash.com/photo-1642497394078-4794e837019c?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"11;4;3";Cocer calabacín y patata | Triturar con aceite y sal | Servir caliente;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
17;Arroz con verduras;Arroz con calabacín, pimiento y tomate.;https://images.unsplash.com/photo-1581184953963-d15972933db1?q=80&w=1565&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"6;11;20;2;3";Cocer arroz | Saltear verduras | Mezclar y servir;"vegana;sin gluten;sin lactosa";eat_healthy;
18;Ensalada de garbanzos;Garbanzos con tomate, cebolla y pimiento.;https://images.unsplash.com/photo-1644432757699-bb5a01e8fb0e?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"32;2;4;20;3";Mezclar ingredientes | Aliñar con aceite y limón;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
19;Filete de pavo a la plancha;Pavo cocinado a la plancha con ajo y aceite.;https://images.unsplash.com/photo-1740782440880-7dc177d43069?q=80&w=1467&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"34;43;3";Cocinar pavo con ajo y aceite | Servir caliente;"sin gluten;sin lactosa";gain_muscle;
20;Pasta con tofu y verduras;Pasta integral con tofu, pimiento y champiñones.;https://images.unsplash.com/photo-1516901121982-4ba280115a36?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"23;30;20;22;3;43";Cocer pasta | Saltear tofu y verduras | Mezclar y servir;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
21;Sopa de verduras;Sopa ligera con zanahoria, calabacín y cebolla.;https://images.unsplash.com/photo-1643786661490-966f1877effa?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"5;11;4;3";Cocer verduras | Agregar agua | Cocer hasta tiernas;"vegana;sin gluten;sin lactosa";eat_healthy;
22;Huevo duro con ensalada;Huevo cocido con ensalada fresca.;https://images.unsplash.com/photo-1574784249234-27610e31b322?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"13;1;2;3";Cocer huevo | Preparar ensalada | Servir todo junto;"sin gluten;sin lactosa";eat_healthy;
23;Tortilla de champiñones;Tortilla con champiñones y cebolla.;https://images.unsplash.com/photo-1607877200978-3cab430e00cd?q=80&w=1476&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"22;13;4;3";Sofreír champiñones y cebolla | Batir huevos | Cuajar tortilla;"sin gluten;sin lactosa";eat_healthy;
24;Quinoa con verduras;Quinoa con calabacín, pimiento y tomate.;https://images.unsplash.com/photo-1615865417491-9941019fbc00?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"19;11;20;2;3";Cocer quinoa | Saltear verduras | Mezclar y servir;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
25;Ensalada caprese;Tomate, queso y albahaca fresca.;https://images.unsplash.com/photo-1607532941433-304659e8198a?q=80&w=1378&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"2;26;3";Cortar tomate y queso | Aliñar con aceite | Añadir albahaca fresca;sin gluten;eat_healthy;
26;Pollo al curry;Pollo con salsa de curry y arroz blanco.;https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"7;8;6;4;3";Sofreír pollo | Agregar curry | Cocer arroz | Mezclar y servir;"sin gluten;sin lactosa";gain_muscle;
27;Wok de verduras;Salteado rápido de verduras frescas con salsa.;https://images.unsplash.com/photo-1722795713858-cefb3bdf049f?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"20;21;22;43;3";Saltear verduras con ajo y aceite | Añadir salsa de soja | Servir caliente;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
28;Chanquete con huevos;Chanquete frito acompañado con huevos revueltos.;https://images.unsplash.com/photo-1584974341893-3733f225430f?q=80&w=1473&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"35;13;3;4";Freír chanquete | Batir huevos y cocinar | Servir juntos;sin gluten;eat_healthy;
29;Paella valenciana;Arroz tradicional con pollo, verduras y azafrán.;https://images.unsplash.com/photo-1630175860333-5131bda75071?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"6;7;20;27;4;3";Sofreír ingredientes | Cocer arroz con azafrán | Cocinar a fuego medio;"sin gluten;sin lactosa";"eat_healthy;gain_muscle";
30;Ensalada de burrata;Burrata fresca con tomate y albahaca.;https://images.unsplash.com/photo-1662401354223-210008b6a8ec?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"36;2;26;3";Cortar burrata y tomate | Aliñar con aceite y albahaca fresca;sin gluten;eat_healthy;
31;Salmorejo;Crema fría de tomate con ajo y pan.;https://images.unsplash.com/photo-1662469838214-a97415cd83fe?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"2;4;37;3";Triturar tomate, ajo y pan | Servir frío con huevo duro;sin gluten;eat_healthy;
32;Rollitos de primavera;Rollitos fritos con verduras y salsa agridulce.;https://images.unsplash.com/photo-1610505127058-2ed68ad7d21e?q=80&w=1411&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"38;20;21;43;3";Rellenar masa con verduras | Freír rollitos | Servir con salsa;sin gluten;eat_healthy;
33;Filete de salmón al horno;salmón con limón y especias al horno.;https://images.unsplash.com/photo-1560717845-968823efbee1?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"39;3;43";Sazonar salmón | Hornear 20 minutos | Servir con limón;"sin gluten;sin lactosa";gain_muscle;
34;Hamburguesa de ternera;Hamburguesa casera con lechuga y tomate.;https://images.unsplash.com/photo-1551782450-a2132b4ba21d?q=80&w=1469&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"40;1;2;29;3";Preparar carne | Cocinar en sartén | Montar con pan y verduras;sin gluten;gain_muscle;
35;Crema de calabaza;Crema suave y calentita de calabaza.;https://images.unsplash.com/photo-1642497394078-4794e837019c?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"11;3;4";Cocer calabaza | Triturar con aceite y sal | Servir caliente;"vegana;sin gluten;sin lactosa";eat_healthy;
36;Ensalada César;Lechuga con pollo, queso parmesano y salsa César.;https://images.unsplash.com/photo-1550304943-4f24f54ddde9?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"1;7;41;26;3";Preparar pollo a la plancha | Mezclar con lechuga y salsa;sin gluten;"eat_healthy;gain_muscle";
37;Tacos vegetarianos;Tacos rellenos con verduras y tofu.;https://images.unsplash.com/photo-1552332386-f8dd00dc2f85?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"42;30;20;22;3";Cocinar tofu y verduras | Rellenar tortillas;"vegana;sin gluten";eat_healthy;
38;Pizza margarita;Pizza clásica con tomate, mozzarella y albahaca.;https://images.unsplash.com/photo-1513104890138-7c749659a591?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"43;2;26;3";Preparar base | Añadir ingredientes | Hornear;sin gluten;eat_healthy;
39;Burrito de pollo;Tortilla rellena de pollo, arroz y verduras.;https://images.unsplash.com/photo-1662116765994-1e4200c43589?q=80&w=1632&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"29;7;6;20;3";Cocinar pollo y arroz | Rellenar tortilla y enrollar;sin gluten;gain_muscle;
40;Ensalada de pasta fría;Pasta con tomate, aceitunas y queso fresco.;https://images.unsplash.com/photo-1630492782892-74f99406dc59?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"23;2;44;26;3";Cocer pasta | Mezclar con ingredientes y aliñar;sin gluten;eat_healthy;
41;Guiso de lentejas;Lentejas estofadas con verduras.;https://images.unsplash.com/photo-1583592655948-4742830f0072?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"9;4;5;43;3";Cocer lentejas con verduras y especias;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
42;Espaguetis a la boloñesa;Pasta con salsa de carne y tomate.;https://images.unsplash.com/photo-1713561058969-793049b01712?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"23;40;2;4;3";Preparar salsa boloñesa | Cocer pasta | Mezclar y servir;sin gluten;gain_muscle;
43;Batido energético;Batido de frutas con proteína en polvo.;https://images.unsplash.com/photo-1662130187270-a4d52c700eb6?q=80&w=1402&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"45;46;47;48;49";Mezclar ingredientes en licuadora | Servir frío;"sin gluten;sin lactosa";gain_muscle;breakfast
44;Porridge con plátano y nueces;Avena cocida con plátano y nueces, desayuno completo.;https://images.unsplash.com/photo-1630361802236-e2b611c7065c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"15;16;48";Cocinar avena con bebida vegetal | Añadir plátano y nueces | Servir;"sin gluten;sin lactosa";eat_healthy;breakfast
45;Chía pudding con frutos rojos;Semillas de Chía con bebida vegetal y frutas.;https://images.unsplash.com/photo-1597334134098-2a5740c5e851?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"45;17;47";Mezclar Chía con bebida vegetal | Reposar 8h | Servir con frutos rojos;"vegana;sin gluten;sin lactosa";"gain_muscle;eat_healthy";breakfast
46;Yogur griego con granola y miel;Desayuno rápido y nutritivo.;https://images.unsplash.com/photo-1593198232414-72431a1cc506?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"14;47;48";Poner yogur en bol | Añadir granola y miel | Servir;sin gluten;eat_healthy;breakfast
47;Pan de centeno con hummus;Tostada saludable rica en fibra y proteína vegetal.;https://images.unsplash.com/photo-1673631517734-963bea2f1adb?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"29;32;43";Tostar pan | Untar hummus | Añadir toppings al gusto;"vegana;sin lactosa";eat_healthy;breakfast
48;Gachas de avena con manzana;Desayuno caliente con frutas y canela.;https://images.unsplash.com/photo-1630361802236-e2b611c7065c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"15;17;46";Cocinar avena con bebida vegetal | Añadir manzana y canela | Servir caliente;sin lactosa;"gain_muscle;eat_healthy";breakfast
49;Muffins integrales de plátano;Muffins saludables y saciantes para el desayuno.;https://images.unsplash.com/photo-1607958996333-41aef7caefaa?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"16;36;50;48";Mezclar ingredientes | Verter en moldes | Hornear 25 min;sin lactosa;eat_healthy;breakfast
50;Smoothie bowl de mango y coco;Batido cremoso con toppings saludables.;https://images.unsplash.com/photo-1619898804188-e7bad4bd2127?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"16;17;47;48";Triturar frutas con bebida vegetal | Servir con toppings;"vegana;sin gluten;sin lactosa";eat_healthy;breakfast
51;Hummus con crudités;Plato de hummus casero acompañado de zanahoria, pimiento y calabacín en tiras.;https://images.unsplash.com/photo-1603133872497-f29809b750bf?q=80&w=813&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"32;3;43;5;20;11";Triturar garbanzos con ajo y aceite | Cortar verduras en tiras | Servir hummus con crudités;"vegana;sin gluten;sin lactosa";eat_healthy;
52;Bowl de lentejas y arroz;Plato completo con lentejas, arroz y verduras frescas.;https://images.unsplash.com/photo-1512058564366-18510be2db19?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3;"9;6;2;4;3";Cocer lentejas y arroz | Cortar tomate y cebolla | Mezclar y aliñar con aceite;"vegana;sin gluten;sin lactosa";"gain_muscle;eat_healthy";
53;Sopa fría de aguacate y calabacín;Sopa fría y cremosa, ideal para verano.;https://images.unsplash.com/photo-1626200419199-391ae4be7a41?q=80&w=825&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"44;11;4;3;41";Cocer calabacín | Triturar con aguacate, cebolla y limón | Servir frío con aceite;"vegana;sin gluten;sin lactosa";eat_healthy;
54;Tacos de tofu y aguacate;Tacos ligeros con tofu marinado y aguacate.;https://images.unsplash.com/photo-1552332386-f8dd00dc2f85?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.0.3;"30;10;44;2;3";Marinar y saltear tofu | Rellenar tortillas con tofu, aguacate y tomate | Servir;"vegana;sin gluten;sin lactosa";"gain_muscle;eat_healthy";
55;Ensalada de espinacas y frutos rojos;Ensalada fresca con espinacas y fresas.;https://images.unsplash.com/photo-1675718341696-552a278c0934?q=80&w=780&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"12;47;3;41";Lavar espinacas y fresas | Mezclar y aliñar con aceite y limón;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
56;Bowl de kale y quinoa;Plato nutritivo con kale, quinoa y almendras.;https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3;"19;52;51;3;41";Cocer quinoa | Saltear kale | Mezclar con almendras y aliñar con aceite y limón;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
57;Ensalada de judías negras;Ensalada rica en proteína con judías negras y verduras.;https://images.unsplash.com/photo-1626081438186-3d0f9532b6b0?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3;"54;2;20;4;3";Mezclar judías con tomate, pimiento y cebolla | Aliñar con aceite;"vegana;sin gluten;sin lactosa";eat_healthy;
58;Pudding de chía y almendras;Postre saludable con chía y almendras.;https://images.unsplash.com/photo-1630361802236-e2b611c7065c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3;"45;17;51;47";Mezclar chía con leche vegetal | Reposar 8h | Servir con almendras y fresas;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";breakfast
59;Tostadas de aguacate con huevo;Desayuno energético con grasas saludables y proteína.;https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"29;44;55";Tostar pan | Añadir aguacate machacado | Colocar huevo cocido encima;sin lactosa;"gain_muscle;eat_healthy";breakfast
60;Parfait de yogur con frutas;Capas de yogur natural, frutas frescas y granola.;https://images.unsplash.com/photo-1490645935967-10de6ba17061?q=80&w=1400&auto=format&fit=crop&ixlib=rb-4.0.3;"14;47;56";Colocar capas de yogur, frutas y granola en vaso | Servir frío;sin gluten;eat_healthy;breakfast
61;Tortitas de avena y plátano;Tortitas saludables sin azúcar refinado.;https://images.unsplash.com/photo-1647708516691-a16437bfee61?q=80&w=874&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"15;16;55";Mezclar avena, plátano y huevo | Cocinar en sartén;sin gluten;"gain_muscle;eat_healthy";breakfast
62;Pan de espelta con queso fresco y tomate;Desayuno mediterráneo equilibrado y sabroso.;https://images.unsplash.com/photo-1649138759381-380b08f74560?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"57;58;59";Tostar pan | Añadir queso fresco y rodajas de tomate | Aliñar con aceite;sin gluten;eat_healthy;breakfast
63;Copos de maíz con bebida vegetal;Desayuno rápido y ligero ideal para días ocupados.;https://images.unsplash.com/photo-1518717558321-98e6cd8cf010?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"60;17;47";Verter copos y bebida vegetal en bol | Añadir fruta si se desea;"sin lactosa;sin gluten";lose_weight;breakfast
64;Pollo a la plancha con pasta integral;Plato rico en proteínas y carbohidratos para ganar músculo.;https://images.unsplash.com/photo-1703219342277-1a78d6b4a27f?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"7;23;27;3;43";Cocinar pollo a la plancha | Cocer pasta integral | Mezclar con salsa de tomate y ajo | Servir con aceite de oliva;sin gluten;gain_muscle;
65;Ensalada César con pollo y queso;Ensalada completa con pollo y queso parmesano.;https://images.unsplash.com/photo-1578687388049-079580e6eb2d?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"1;7;26;3;41";Preparar pollo a la plancha | Mezclar lechuga, queso rallado y aliñar con limón y aceite;sin gluten;eat_healthy;
